,type,title,listed_in,description
2894,Movie,The Midas Touch,"Comedies, International Movies","A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds he's in over his head."
2895,Movie,The Twins Effect II,"Action & Adventure, Comedies, International Movies",An empress rules over a land where men are subservient to women. But a prophecy reveals that a boy will become king and restore the male regime.
2896,Movie,Twins Mission,"Action & Adventure, International Movies","To retrieve a healing bead stolen from its guardian monks, a pair of bickering twin sisters face off against an entire gang of rival twins."
2897,Movie,Life After Beth,"Comedies, Horror Movies, Independent Movies","Following the death of his beloved girlfriend, Beth, Zach is first shattered and then overjoyed when she inexplicably comes back to life."
2898,Movie,Revenge of the Green Dragons,"Action & Adventure, Dramas, Independent Movies","In gritty 1980s New York, two Chinese immigrant boys rise through the ranks of the infamous Green Dragons gang, where they're trained to kill."
2899,Movie,City of Tiny Lights,"Dramas, International Movies, Thrillers","In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker."
2900,Movie,Internet Famous,Comedies,Five viral Internet celebrities travel to a competition that will award one of them their own television series in this ensemble comedy.
2901,Movie,May You Prosper,"Comedies, International Movies, Music & Musicals","A man's inability to conquer his personal insecurities and distrust of other people leads to problems with his on-again, off-again wife and their son."
2902,TV Show,Sexy Central,"International TV Shows, Romantic TV Shows, TV Dramas","In the bustling center of Hong Kong, five young women reckon with betrayal, unrequited love and other matters of the heart."
2903,TV Show,Amazing Interiors,"British TV Shows, International TV Shows, Reality TV","Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium."
2904,TV Show,Dark Tourist,"Docuseries, International TV Shows","From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world."
2905,Movie,Duck Duck Goose,"Children & Family Movies, Comedies","As his flock's annual migration nears, a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing."
2906,Movie,Father of the Year,Comedies,A drunken debate between two recent college grads about whose father would win in a fight leads to mayhem when their dads take the challenge seriously.
2907,TV Show,Jimmy: The True Story of a True Idiot,"International TV Shows, TV Comedies, TV Dramas","In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar."
2908,Movie,Nothing to Lose,"Dramas, Faith & Spirituality, International Movies",This biographical drama traces the rise to fame of controversial Brazilian evangelical leader and business titan Edir Macedo.
2909,Movie,The Captive,"Dramas, Thrillers","Eight years after their daughter's abduction tore them apart, her parents receive enigmatic clues from the kidnapper hinting that she's still alive."
2910,Movie,"Houston, We Have a Problem!","Comedies, Independent Movies, International Movies","Blending fact with myth, this conspiracy-minded docufiction argues that the U.S. purchased Yugoslavia's secret space program in the 1960s."
2911,TV Show,The Most Beautiful Hands of Delhi,"International TV Shows, TV Comedies, TV Dramas","A stalled career, failed marriage and receding hairline drive a middle-aged Swedish man to try to revitalize his life by visiting India."
2912,TV Show,DreamWorks How to Train Your Dragon Legends,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","In this set of shorts, Hiccup and the gang learn about different species of dragons. Then, Gobber goes in search of the Boneknapper Dragon."
2913,TV Show,Bangkok Love Stories: Objects of Affection,"International TV Shows, Romantic TV Shows, TV Dramas",A kind computer repairman falls for a street-smart graffiti artist whose multiple personality disorder worsens after she witnesses a double murder.
2914,TV Show,Bangkok Love Stories: Plead,"International TV Shows, Romantic TV Shows, TV Dramas","In Bangkok's Chinatown, a spirited digital marketing expert falls for a blind fortune-teller, but their love is predestined to end in disaster."
2915,TV Show,Designated Survivor: 60 Days,"International TV Shows, Korean TV Shows, TV Dramas","When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu-jin must find a way to lead Korea through the ensuing chaos."
2916,Movie,Dance Academy: The Comeback,"Dramas, International Movies","In this adaptation of the TV series, Tara recovers from injury and pursues a career in the U.S., where she grapples with love and professional rejection."
2917,Movie,King of Peking,"Comedies, Dramas, International Movies","Strapped for cash, a traveling projectionist begins to run a DVD pirating business, putting him at odds with his young, skeptical son."
2918,Movie,Black Rose,"Action & Adventure, International Movies","When a number of Russian women are brutally murdered in Los Angeles, the police call on a Moscow detective to help track down the serial killer."
2919,Movie,"¡Ay, mi madre!","Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance."
2920,Movie,Iron Cowboy: The Story of the 50.50.50,"Documentaries, Sports Movies","A record-setting triathlete dares to complete 50 Ironman races – a 2.4-mile swim, a 112-mile bike ride, and a 26.2-mile run – in 50 days in 50 states."
2921,TV Show,​SAINT SEIYA: Knights of the Zodiac,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
2922,TV Show,Typewriter,"International TV Shows, TV Horror, TV Mysteries","Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home’s buried past resurfaces in chilling ways."
2923,Movie,El club de los buenos infieles,"Comedies, International Movies",Four childhood buddies in passionless marriages try a counterintuitive idea: a secret club for men who want to cheat – to regain lust for their wives.
2924,Movie,Katt Williams: Live,Stand-Up Comedy,"Outspoken comedian Katt Williams pokes fun at a variety of topics, including sex, relationships, parenthood and trying to make it as an entertainer."
2925,Movie,Obvious Child,"Comedies, Dramas, Independent Movies","After being fired from her job and dumped by her cheating boyfriend, a comedian has a one-night stand. Weeks later, she finds out she's pregnant."
2926,Movie,Room,"Dramas, Independent Movies","Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape."
2927,Movie,Say When,"Comedies, Dramas, Independent Movies","Desperately clinging to her youth, 28-year-old Megan tells her boyfriend she's attending a career seminar but hangs out with a teenage friend instead."
2928,Movie,Son of a Gun,"Action & Adventure, Dramas, Independent Movies",A young petty thief who received protection from a notorious inmate in jail is forced to spring his defender from prison and help pull off a heist.
2929,Movie,The Rover,"International Movies, Thrillers","Set in a chaotic future, this Outback saga follows loner Eric's brutal ordeal when a criminal gang takes his car and leaves him nowhere with nothing."
2930,Movie,The Stranger,"Classic Movies, Dramas, Thrillers",A Nazi fugitive hiding in Connecticut tries to keep his identity hidden from his naïve new wife while a dogged investigator pursues him relentlessly.
2931,TV Show,Rookie Historian Goo Hae-Ryung,"International TV Shows, Korean TV Shows, Romantic TV Shows",Free spirit Goo Hae-ryung embarks on a new life as a scholar in the Joseon royal court after hearing about a government post for women historians.
2932,Movie,Secret Obsession,Thrillers,"When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over."
2933,Movie,Short Term 12,"Dramas, Independent Movies","A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding."
2934,TV Show,Camarón Revolution,"Docuseries, International TV Shows, Spanish-Language TV Shows",The extraordinary life and career of flamenco legend Camarón de la Isla is covered in this sweeping biography series.
2935,Movie,Camarón: The Film,"Documentaries, International Movies, Music & Musicals","This documentary looks back on the life of legendary flamenco singer Camarón, who went from humble roots to rock star status to a tragic early death."
2936,Movie,GODZILLA City on the Edge of Battle,"Action & Adventure, Anime Features, International Movies","On Earth, Haruo and his companions make contact with the indigenous Houtua tribe. To defeat Godzilla, they set out for the old Mechagodzilla facility."
2937,Movie,Aditi Mittal: Things They Wouldn't Let Me Say,Stand-Up Comedy,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings."
2938,TV Show,Ari Shaffir: Double Negative,Stand-Up Comedy & Talk Shows,"Wry yet thoughtful, comedian Ari Shaffir brings his edgy humor to two fast-paced stand-up specials about children and adulthood."
2939,Movie,Theater of Life,Documentaries,This documentary follows chef Massimo Bottura as he opens a soup kitchen to cook gourmet meals for the needy from food waste at the 2015 Milan Expo.
2940,Movie,Mauli,"Action & Adventure, Dramas, International Movies",An unconventional police officer faces off against a gang of thugs as he tries to bring order to the far-flung village he’s been stationed in.
2941,TV Show,Unrequited Love,"International TV Shows, Romantic TV Shows, TV Dramas","A complicated, one-sided secret attraction sends ripples through the lives of a mild-mannered student and her dashing classmate."
2942,Movie,Mary and the Witch's Flower,"Anime Features, Children & Family Movies","Ordinary girl Mary picks an extraordinary flower and travels to Endor College, a school for magic. But its foremost teachers have a sinister plan."
2943,Movie,Uncertain Glory,"Dramas, International Movies","When Lluís, a disinterested Spanish soldier, meets Carlana, he falls quickly in love, but soon discovers that Carlana's true passion is power."
2944,Movie,Tig,"Documentaries, Stand-Up Comedy",Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.
2945,Movie,Bogda,"Dramas, International Movies",An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.
2946,Movie,"Frankenstein’s Monster’s Monster, Frankenstein",Comedies,"When actor David Harbour finds lost footage of his father's disastrous televised stage play of a literary classic, he uncovers shocking family secrets."
2947,Movie,Jack of all Trades,"Documentaries, Sports Movies","Once upon a time, baseball cards were as much an American pastime as the sport. But then scandal rocked the multi-million-dollar industry for good."
2948,Movie,The Break-Up,"Comedies, Dramas, Romantic Movies",Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.
2949,Movie,The Princess and the Frog,Children & Family Movies,"In New Orleans during the Jazz Age, a beautiful girl named Tiana has a fateful encounter with frog prince who desperately wants to be human again."
2950,Movie,We Belong Together,Thrillers,A divorced professor shares a night of passion with a troubled student who quickly develops an unhealthy – perhaps deadly – infatuation.
2951,TV Show,Angel Beats!,"Anime Series, International TV Shows","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world."
2952,TV Show,Anohana: The Flower We Saw That Day,"Anime Series, International TV Shows, Teen TV Shows",A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.
2953,TV Show,God Eater,"Anime Series, International TV Shows",An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.
2954,TV Show,GRANBLUE FANTASY the Animation,"Anime Series, International TV Shows","In a world where islands float in the sky, Gran encounters a mysterious girl wanted by the Erste Empire for her ability to summon Primal Beasts."
2955,TV Show,Grizzy et les Lemmings,"Kids' TV, TV Comedies","Strong, whip-smart Grizzy rules a Canadian forest, where he has his paws full with a family of frolicsome lemmings."
2956,Movie,Love Shot,"Dramas, Thrillers",A charming hitman questions his profession after learning his next target is the karaoke singer he’s falling in love with.
2957,Movie,A Glimpse Inside the Mind of Charles Swan III,"Comedies, Independent Movies","When his girlfriend walks out and leaves him a wreck, a graphic designer – who seemed to have it all – sets out to discover where he went wrong."
2958,Movie,Enemy,"Independent Movies, Thrillers","When a humdrum academic spots his double in a movie, he launches a search that leads him to a small-time actor who looks exactly like him."
2959,Movie,Esperando La Carroza,"Comedies, Cult Movies, International Movies",Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?
2960,Movie,Froning: The Fittest Man in History,"Documentaries, International Movies, Sports Movies",Follow the grueling training regimen of Rich Froning Jr. as he sets his sights on winning an unprecedented fourth CrossFit Games title.
2961,Movie,Ginger & Rosa,"Dramas, Independent Movies","With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London – until betrayal drives them apart."
2962,Movie,Going for Gold,"Children & Family Movies, Dramas, International Movies","After moving to Australia, an American teen convinces her new friends to form a cheer squad and take on their biggest rivals in competition."
2963,Movie,Locke,"Dramas, Independent Movies","Over the space of 90 minutes, Ivan Locke's life spins out of control via a series of phone calls made while he drives down the highway to London."
2964,Movie,Lucha: Playing the Impossible,"Documentaries, International Movies, Sports Movies","Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world."
2965,Movie,Spring Breakers,"Comedies, Cult Movies, Dramas","After four college girls rob a restaurant to fund their spring break in Florida, they get entangled with a weird dude with his own criminal agenda."
2966,Movie,Stray Bullet,Documentaries,"In 2014,12-year-old Genesis Rincon was fatally shot while riding her scooter. Those linked to the tragedy reflect on justice and the cycle of violence."
2967,Movie,Tahaan,"Dramas, International Movies","After his family's donkey is confiscated by a moneylender, 8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet."
2968,Movie,Tango Feroz,"Classic Movies, Dramas, International Movies","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
2969,Movie,Temporada de Caza,"Dramas, International Movies",Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia.
2970,Movie,The Adderall Diaries,"Dramas, Thrillers",Author Stephen Elliott has a problem separating his own life from incidents in the life of a convicted murderer about whom he's writing a book.
2971,Movie,The Spectacular Now,"Dramas, Independent Movies, Romantic Movies","Classmates Aimee and Sutter form an unlikely friendship, and after helping Aimee raise her social confidence, Sutter begins falling for his creation."
2972,Movie,Under The Skin,"Dramas, Independent Movies, International Movies","A seductive alien prowls the streets in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool."
2973,Movie,Amar,"Dramas, International Movies, Romantic Movies","Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance."
2974,Movie,Singh Saab the Great,"Action & Adventure, Dramas, International Movies","As the result of a TV journalist's curiosity, the amazing saga of an honorable government tax collector's past comes to light."
2975,Movie,Vitti Dandu,"Dramas, International Movies","In a remote village in colonial India, an old man and his grandson display strong differences in their attitudes toward the country's British rulers."
2976,Movie,Holidays,"Comedies, Horror Movies","Eight gleefully grim short tales set on Halloween, Mother's Day, St. Patrick's Day and other holidays comprise this chilling horror anthology."
2977,Movie,Lusers,"Comedies, International Movies, Sports Movies",Three men from different nations must find their way out of the Amazon jungle – on foot – when they get lost on the way to Brazil's World Cup Final.
2978,Movie,Rebirth,"Dramas, Thrillers","Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence."
2979,Movie,Tony Robbins: I Am Not Your Guru,Documentaries,Tony Robbins' clients swear by his unorthodox life coaching methods. A revealing film goes behind the curtain at his annual mega-event.
2980,Movie,The Physician,"Action & Adventure, Dramas, International Movies",A medical apprentice in 11th-century Persia disguises himself as a Jew to study at a school that does not admit Christians.
2981,Movie,White Christmas,"Children & Family Movies, Classic Movies, Comedies","Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."
2982,TV Show,Blood & Treasures,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","Condemned by a centuries-old vow to protect her kingdom's treasures, an embittered spirit returns to seek justice against the man who wronged her."
2983,Movie,Colonia,"Dramas, Independent Movies, International Movies","When her boyfriend is caught up in a Chilean coup, a young woman tries to free him from a prison camp posing as a commune by joining it voluntarily."
2984,TV Show,Meteor Garden,"International TV Shows, Romantic TV Shows, TV Dramas","Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers – and finds love."
2985,Movie,Buddy Thunderstruck: The Maybe Pile,Movies,"Champion truck-racing dog Buddy and his best friend, ferret mechanic Darnell, paw through the ""maybe pile"" and test out a bunch of crazy stunts."
2986,Movie,Chasing Coral,Documentaries,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs."
2987,Movie,To the Bone,"Dramas, Independent Movies","Ellen, a 20-year-old with anorexia nervosa, goes on a harrowing, sometimes funny journey of self-discovery at a group home run by an unusual doctor."
2988,Movie,Gridlocked,Action & Adventure,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries."
2989,TV Show,Magi: Adventure of Sinbad,"Anime Series, International TV Shows",The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.
2990,Movie,Creep,"Horror Movies, Independent Movies, Thrillers","When a cash-strapped videographer takes a job in a remote mountain town, he finds that the client has some unsettling ideas in mind."
2991,Movie,"Plaire, aimer et courir vite","Dramas, Independent Movies, International Movies","When a Paris-based writer with AIDS meets a college student exploring his sexuality, romance blossoms in his waning days."
2992,TV Show,Fatal Destiny,"Crime TV Shows, International TV Shows, TV Action & Adventure",A young man from a humble family is drawn into a life of crime – and soon confronts a determined cop in hot pursuit.
2993,Movie,How It Ends,"Action & Adventure, Sci-Fi & Fantasy","When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fiancée."
2994,Movie,Jim Jefferies: This Is Me Now,Stand-Up Comedy,"The gleefully irreverent Jefferies skewers ""grabby"" celebrities, political hypocrisy and his own ill-advised career moves in a brash stand-up special."
2995,Movie,Kevin Hart: Let Me Explain,Stand-Up Comedy,"Philadelphia funnyman Kevin Hart takes the stage in front of a sold-out crowd at Madison Square Garden, part of his hit ""Let Me Explain"" world tour."
2996,Movie,Romina,"Horror Movies, Independent Movies, International Movies",A shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot.
2997,Movie,The Signal,"Sci-Fi & Fantasy, Thrillers","During their drive across the country, college pals Nick and Jonah – accompanied by Nick's girlfriend – run into major trouble in the Nevada desert."
2998,Movie,D.L. Hughley: Clear,Stand-Up Comedy,"In this 2014 standup special filmed in San Francisco, comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more."
2999,Movie,My Scientology Movie,Documentaries,"After speaking with former Scientology members and being stonewalled by higher-ups, filmmaker Louis Theroux hires actors to re-create alleged events."
3000,Movie,Tom Segura: Completely Normal,Stand-Up Comedy,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.
3001,Movie,4L,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter."
3002,TV Show,Age Gap Love,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin."
3003,TV Show,Ainsley Eats the Streets,"British TV Shows, Docuseries, International TV Shows",Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.
3004,Movie,Black & Privileged: Volume 1,Dramas,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status."
3005,TV Show,Blown Away,"International TV Shows, Reality TV","Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion."
3006,Movie,Cities of Last Things,"Dramas, Independent Movies, International Movies","In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago."
3007,TV Show,Encounters with Evil,"British TV Shows, Crime TV Shows, Docuseries","This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals."
3008,TV Show,Extreme Engagement,"International TV Shows, Reality TV",An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?
3009,TV Show,History's Greatest Hoaxes,"British TV Shows, Docuseries","Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history."
3010,Movie,Kidnapping Stella,"Dramas, International Movies, Thrillers","Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans."
3011,TV Show,Luis Miguel - The Series,"International TV Shows, Spanish-Language TV Shows, TV Dramas","This series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades."
3012,TV Show,Mega Food,"British TV Shows, Docuseries, International TV Shows","Visiting the busiest kitchens in the world, this reality series focuses on large-scale food production – and the people who make it happen."
3013,TV Show,MegaTruckers,Reality TV,"This reality ride-along offers a glimpse into the can-do, high-stakes world of big rig drivers who haul massive loads of cargo across Australia."
3014,TV Show,Money for Nothing,"British TV Shows, International TV Shows, Reality TV","Aided by designers and craftspeople, entrepreneur Sarah Moore rescues items bound for the garbage dump and turns them into valuable, unique objects."
3015,TV Show,One Spring Night,"International TV Shows, Korean TV Shows, Romantic TV Shows","When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air – and anything is possible."
3016,TV Show,PILI Fantasy: War of Dragons,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","As turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces, who will emerge as the new warrior legend?"
3017,Movie,Point Blank,Action & Adventure,"To save his pregnant wife, an emergency room nurse unwillingly partners with an injured murder suspect in a race against time and renegade cops."
3018,Movie,Smart People,"Comedies, Dramas, Independent Movies",An unexpected romance and a surprise visit from his wild brother turn the life of widowed professor Lawrence Wetherhold upside down.
3019,TV Show,Taco Chronicles,"Docuseries, International TV Shows, Reality TV","Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure."
3020,Movie,The Milk System,"Documentaries, International Movies","Farmers, scientists and industry insiders delve into the hidden costs and consequences of global dairy production and offer up possible solutions."
3021,TV Show,True Tunes,Kids' TV,"True and her friends are dropping sweet, silly beats with freshly modern music videos set to the sounds of classic nursery rhyme songs."
3022,TV Show,Gonul,"International TV Shows, TV Dramas, TV Thrillers","A nurse escapes from her surgeon fiancé after his ex reveals his dark secrets. She later finds love again, but a car accident changes everything."
3023,TV Show,Chhota Bheem,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
3024,TV Show,Family Reunion,TV Comedies,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
3025,Movie,Little Singham Bandarpur Mein Hu Ha Hu,"Children & Family Movies, Comedies","Little Singham's sidekick monkey, Chikki, is stuck in the magical land of Bandarpur! Can the kid cop save his beloved pet before danger strikes?"
3026,Movie,Parchís: the Documentary,"Documentaries, International Movies, Music & Musicals","The spotlight's on Parchís, a record company-created Spanish boy/girl band that had unprecedented success with Top 10 songs and hit films in the '80s."
3027,Movie,Us and Them,"Dramas, International Movies, Thrillers","Tired of his lot in life, an angry young man persuades two of his pub buddies to record a home invasion as a protest against the ""one percent""."
3028,Movie,The Battered Bastards of Baseball,"Documentaries, Sports Movies","The colorful true story of the Portland Mavericks, a scrappy, independent baseball team of underdogs started by actor Bing Russell in the 1970s."
3029,Movie,Sex Doll,"Dramas, International Movies, Romantic Movies","A high-end call girl falls for a handsome man she meets at a nightclub, but he harbors a secret that throws a wrench in their relationship."
3030,Movie,Summer of '92,"Dramas, International Movies, Sports Movies","When a quirk of fate kicks the Danish national soccer team into the European Championship final, the coach must whip his unprepared squad into shape."
3031,Movie,Chris Tucker Live,Stand-Up Comedy,"Filmed in his hometown of Atlanta, Chris Tucker showcases his stand-up comedic chops as he shares his experiences from childhood to the big time."
3032,Movie,Alice Doesn't Live Here Anymore,"Classic Movies, Comedies, Dramas","A widowed singer and single mother starts over as a diner waitress in Arizona, befriending her coworkers and romancing a ruggedly handsome rancher."
3033,TV Show,DreamWorks Kung Fu Panda Awesome Secrets,"Kids' TV, TV Action & Adventure, TV Comedies","In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet."
3034,TV Show,Flowering Heart,"Kids' TV, Korean TV Shows","An ordinary student, who forms an advice club with her friends to help others, gains special powers after a mysterious encounter."
3035,Movie,Frozen River,"Dramas, Independent Movies","On a Mohawk reservation on the Canadian border, Ray Eddy teams with a widowed tribe member to smuggle illegal immigrants into the United States."
3036,Movie,Inkheart,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","Unbeknownst to his 12-year-old daughter, a bookbinder has a secret ability to bring characters to life by reading their stories out loud."
3037,TV Show,Inside the Mind of a Serial Killer,"Crime TV Shows, Docuseries","Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers."
3038,Movie,Katherine Ryan: Glitter Room,Stand-Up Comedy,"Fresh from a tour, comedian Katherine Ryan shares shrewd observations about school bullies, revenge bodies and raising a very fancy child."
3039,Movie,Kill the Irishman,"Action & Adventure, Dramas, Independent Movies","This true crime tale charts the rise and fall of mobster Danny Greene, who faced down the Mafia to gain control of organized crime in 1970s Cleveland."
3040,Movie,Lady in the Water,"Sci-Fi & Fantasy, Thrillers","When an apartment building manager discovers a water nymph in the complex's swimming pool, he tries to help her return to her mythical home."
3041,Movie,Little Monsters,"Children & Family Movies, Comedies","Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends."
3042,Movie,Mean Dreams,"Dramas, Independent Movies, Thrillers","Desperate to start a new life with his girlfriend, a teenage boy steals drug money from her father, who happens to be the town's corrupt lawman."
3043,Movie,Mean Streets,"Classic Movies, Dramas, Independent Movies","In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler."
3044,TV Show,Molang,Kids' TV,"An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world."
3045,Movie,Next,"Action & Adventure, Sci-Fi & Fantasy",Las Vegas magician Cris can see a few minutes into the future and an FBI agent wants his help thwarting a nuclear attack.
3046,Movie,Nights in Rodanthe,"Dramas, Romantic Movies","When a hurricane hits a coastal North Carolina inn and strands the only guest, surgeon Paul Flanner, a young woman's life changes forever."
3047,Movie,NOVA: Bird Brain,"Children & Family Movies, Documentaries",Scientists test avian aptitude and challenge concepts of intelligence with examples ranging from puzzle-solving crows to parrots with a sense of time.
3048,Movie,NOVA: Black Hole Apocalypse,Documentaries,"Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race."
3049,Movie,NOVA: Building Chernobyl's MegaTomb,Documentaries,"Thirty years after Chernobyl’s nuclear disaster, engineers race against time to complete a new dome to contain the reactor’s lethal radiation."
3050,Movie,NOVA: Chinese Chariot Revealed,Documentaries,"The chariot dominated Chinese warfare for millennia. Now, a team of experts is building their own and unlocking its many secrets."
3051,Movie,NOVA: Day the Dinosaurs Died,Documentaries,"Drilling into the impact crater of the asteroid that wiped out the dinosaurs, a group of scientists unearths new evidence about the catastrophic event."
3052,Movie,NOVA: Death Dive to Saturn,Documentaries,"After decades of amazing discoveries, spacecraft Cassini embarks on its final – and most daring – mission: a dive below Saturn’s rings."
3053,Movie,NOVA: Decoding the Weather Machine,Documentaries,"Scientists investigate Earth’s climate machine, looking for clues across the globe, from Greenland’s ice sheet to the desert of Australia."
3054,Movie,NOVA: Eclipse Over America,Documentaries,"Scientists reveal how the 2017 solar eclipse provided new clues into how the sun works, from its scorching atmosphere to its deadly solar storms."
3055,Movie,NOVA: Extreme Animal Weapons,Documentaries,"From huge tusks to giant horns, some animals sport weaponry that’s larger than life. Researchers explain the science behind this biological arms race."
3056,Movie,NOVA: First Face of America,Documentaries,"During risky expeditions in an underwater cave, scientists unearth a 13,000-year-old skeleton to gain insight into the earliest known humans in America."
3057,Movie,NOVA: Holocaust Escape Tunnel,Documentaries,"At a former Nazi execution site in Lithuania, an international team of archaeologists searches for a lost escape tunnel dug by Jewish prisoners."
3058,Movie,NOVA: Killer Floods,Documentaries,Scientists search for evidence left behind by the world’s greatest floods and predict if climate change will cause even greater aquatic disasters.
3059,Movie,NOVA: Killer Hurricanes,Documentaries,"Scientists research the world’s deadliest hurricane, trying to understand what this 18th-century storm could tell us about our own future."
3060,Movie,NOVA: Killer Volcanoes,Documentaries,Evidence of a mysterious medieval famine leads researchers on a quest for one of the deadliest volcanoes in human history.
3061,Movie,NOVA: Poisoned Water,Documentaries,"This documentary details how the water disaster in Flint, Michigan happened, its lasting effects, and the lengthy efforts it took to correct it."
3062,Movie,NOVA: Prediction by the Numbers,Documentaries,"With the science of forecasting flourishing, this documentary explores how predictions inform our lives and statistics and algorithms' reliability."
3063,Movie,NOVA: Secrets of the Shining Knight,Documentaries,A master armorer and his team recreate parts of a knight's medieval armor and test its strength while rediscovering centuries-old metalworking secrets.
